latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.9418,-68.2494,303.1,3.9,1.8,2014-01-01,0222,Terra,MODIS,53,6.2,284.1,41.3,N,0
4.9312,-68.2544,300.5,3.9,1.8,2014-01-01,0222,Terra,MODIS,29,6.2,284.5,31,N,0
5.7754,-67.7577,341.2,2,1.4,2014-01-01,1440,Terra,MODIS,91,6.2,294.7,101.4,D,0
5.8893,-68.6739,316.9,2.4,1.5,2014-01-01,1440,Terra,MODIS,31,6.2,293.6,21.9,D,0
5.5134,-68.1354,324.5,2.2,1.4,2014-01-01,1440,Terra,MODIS,64,6.2,294.7,35.6,D,0
5.4679,-68.187,325.1,2.2,1.4,2014-01-01,1440,Terra,MODIS,71,6.2,293.2,40.1,D,0
5.5159,-68.1547,323.4,2.2,1.4,2014-01-01,1440,Terra,MODIS,59,6.2,294.9,34.2,D,0
5.4653,-68.1676,328.8,2.2,1.4,2014-01-01,1440,Terra,MODIS,82,6.2,293.2,53.4,D,0
5.4551,-68.1887,333,2.2,1.4,2014-01-01,1440,Terra,MODIS,74,6.2,294.2,73.9,D,0
5.483,-68.1065,328.4,2.1,1.4,2014-01-01,1440,Terra,MODIS,82,6.2,294.4,51.2,D,0
5.5138,-68.1414,328.9,2.2,1.4,2014-01-01,1440,Terra,MODIS,79,6.2,295.1,51.6,D,0
5.5261,-68.0366,323.1,2.1,1.4,2014-01-01,1440,Terra,MODIS,77,6.2,295.7,34.6,D,0
5.5159,-68.0572,317.8,2.1,1.4,2014-01-01,1440,Terra,MODIS,23,6.2,295.7,17.4,D,0
5.4525,-68.1693,327,2.2,1.4,2014-01-01,1440,Terra,MODIS,61,6.2,294.3,50.2,D,0
5.5258,-68.0427,324.4,2.1,1.4,2014-01-01,1440,Terra,MODIS,66,6.2,295.8,35.7,D,0
4.6959,-69.2298,313.4,2.5,1.5,2014-01-01,1441,Terra,MODIS,56,6.2,291.8,23.1,D,0
4.0281,-70.5702,311.1,3.2,1.7,2014-01-01,1441,Terra,MODIS,61,6.2,290.8,22.3,D,0
4.929,-68.2576,320.1,2.2,1.4,2014-01-01,1441,Terra,MODIS,54,6.2,289.5,33.7,D,0
4.0259,-70.5647,314.5,3.2,1.7,2014-01-01,1441,Terra,MODIS,68,6.2,290.9,35.4,D,0
5.7661,-67.7767,313.8,2,1.4,2014-01-01,1740,Aqua,MODIS,55,6.2,291.8,20.5,D,0
5.7631,-67.771,313.7,2,1.4,2014-01-01,1740,Aqua,MODIS,59,6.2,291.7,20.5,D,0
4.7517,-69.4256,327.6,2.8,1.6,2014-01-01,1740,Aqua,MODIS,78,6.2,291.4,85,D,0
4.7488,-69.4203,334.7,2.8,1.6,2014-01-01,1740,Aqua,MODIS,83,6.2,292.6,128.1,D,0
4.7526,-69.3957,319.4,2.8,1.6,2014-01-01,1740,Aqua,MODIS,51,6.2,289,49.6,D,0
4.9191,-68.2356,319.3,2.2,1.4,2014-01-01,1740,Aqua,MODIS,45,6.2,291.1,31.9,D,0
5.0263,-68.2172,316.5,2.2,1.4,2014-01-01,1740,Aqua,MODIS,37,6.2,295,23.2,D,0
4.7144,-68.4594,318.6,2.3,1.5,2014-01-01,1740,Aqua,MODIS,37,6.2,292,33.1,D,0
3.6601,-71.7078,313.2,4.4,1.9,2014-01-01,1740,Aqua,MODIS,61,6.2,290.1,55.5,D,0
3.6617,-71.7127,314.5,4.4,1.9,2014-01-01,1740,Aqua,MODIS,66,6.2,290.3,62.8,D,0
4.6316,-68.7284,314.8,2.4,1.5,2014-01-01,1740,Aqua,MODIS,66,6.2,287.5,31.2,D,0
4.7276,-68.4614,324.9,2.3,1.5,2014-01-01,1740,Aqua,MODIS,81,6.2,294.1,55.8,D,0
4.7238,-68.4658,327.7,2.3,1.5,2014-01-01,1740,Aqua,MODIS,81,6.2,293.9,62.1,D,0
5.543,-68.22,306.2,1.1,1,2014-01-02,0305,Terra,MODIS,25,6.2,293.1,4.9,N,0
