latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
9.96935,-73.99149,314.55,1.98,1.37,2024-01-01,15:20:00,Terra,MODIS,56,6.1NRT,295.39,17.55,D
3.92745,-71.59372,306.07,3.97,1.85,2024-01-01,15:22:00,Terra,MODIS,57,6.1NRT,281.24,29.78,D
5.1634,-70.63109,313.72,4.5,1.95,2024-01-01,15:22:00,Terra,MODIS,69,6.1NRT,288.26,72.01,D
5.16609,-70.62563,312.2,4.5,1.95,2024-01-01,15:22:00,Terra,MODIS,67,6.1NRT,288.36,60.58,D
5.19817,-67.99742,321.87,1.78,1.31,2024-01-01,18:06:00,Aqua,MODIS,64,6.1NRT,288.37,31.4,D
5.18826,-68.00681,316.9,1.79,1.31,2024-01-01,18:06:00,Aqua,MODIS,59,6.1NRT,291.23,18.11,D
5.19068,-67.991,315.82,1.78,1.31,2024-01-01,18:06:00,Aqua,MODIS,48,6.1NRT,288.42,15.51,D
4.85885,-69.53249,308.49,2.39,1.49,2024-01-01,18:06:00,Aqua,MODIS,37,6.1NRT,279.89,15.22,D
5.16279,-70.65224,315.48,2.9,1.62,2024-01-01,18:06:00,Aqua,MODIS,68,6.1NRT,293.01,36.45,D
4.86218,-69.52598,307.64,2.39,1.49,2024-01-01,18:06:00,Aqua,MODIS,40,6.1NRT,280.09,14.04,D
4.58276,-69.2124,313.8,2.28,1.46,2024-01-01,18:06:00,Aqua,MODIS,69,6.1NRT,283.49,26.01,D
4.73154,-68.50693,309.76,1.99,1.38,2024-01-01,18:06:00,Aqua,MODIS,50,6.1NRT,288.48,16.93,D
4.97191,-68.37978,322.12,1.93,1.36,2024-01-01,18:06:00,Aqua,MODIS,75,6.1NRT,285.24,34.3,D
4.97646,-68.3854,318.41,1.93,1.36,2024-01-01,18:06:00,Aqua,MODIS,73,6.1NRT,283.91,26.55,D
5.76196,-69.72995,311.22,2.39,1.49,2024-01-01,18:08:00,Aqua,MODIS,56,6.1NRT,284.96,20.05,D
5.90855,-70.19903,329.63,2.58,1.54,2024-01-01,18:08:00,Aqua,MODIS,83,6.1NRT,296.09,88.54,D
5.91222,-70.17632,326.91,2.57,1.54,2024-01-01,18:08:00,Aqua,MODIS,81,6.1NRT,296.63,73.98,D
5.76214,-69.71512,308.39,2.38,1.49,2024-01-01,18:08:00,Aqua,MODIS,28,6.1NRT,283.55,13.1,D
6.2785,-67.80021,312.64,1.65,1.26,2024-01-01,18:08:00,Aqua,MODIS,28,6.1NRT,288.37,10.54,D
3.46836,-71.95676,301.27,3.6,1.78,2024-01-02,02:06:00,Terra,MODIS,39,6.1NRT,289.61,23.08,N
3.47395,-71.95251,305.06,3.6,1.78,2024-01-02,02:06:00,Terra,MODIS,63,6.1NRT,289.43,34.91,N
4.82081,-68.537,311.39,1.2,1.09,2024-01-02,06:24:00,Aqua,MODIS,82,6.1NRT,294.43,11.26,N
3.34094,-72.80534,308.54,2.33,1.48,2024-01-02,06:26:00,Aqua,MODIS,75,6.1NRT,291.46,27.41,N
4.43099,-68.85499,308.47,1.17,1.07,2024-01-02,14:24:00,Terra,MODIS,39,6.1NRT,289.35,5.76,D
4.43247,-68.86526,318.01,1.17,1.08,2024-01-02,14:24:00,Terra,MODIS,74,6.1NRT,289.92,16.0,D
5.75176,-69.13924,314.61,1.25,1.11,2024-01-02,14:24:00,Terra,MODIS,63,6.1NRT,292.05,9.03,D
5.75333,-69.15031,315.59,1.25,1.11,2024-01-02,14:24:00,Terra,MODIS,66,6.1NRT,291.87,10.15,D
3.52887,-71.9196,325.59,1.03,1.01,2024-01-02,18:49:00,Aqua,MODIS,77,6.1NRT,291.43,18.13,D
3.53017,-71.91057,320.66,1.03,1.01,2024-01-02,18:49:00,Aqua,MODIS,67,6.1NRT,290.28,13.14,D
3.45794,-72.15767,319.91,1.01,1.01,2024-01-02,18:49:00,Aqua,MODIS,76,6.1NRT,294.25,11.23,D
3.3397,-72.15308,330.14,1.01,1.01,2024-01-02,18:49:00,Aqua,MODIS,80,6.1NRT,295.4,22.71,D
3.34098,-72.14414,325.26,1.01,1.01,2024-01-02,18:49:00,Aqua,MODIS,81,6.1NRT,295.91,16.27,D
3.33076,-72.15179,326.09,1.01,1.01,2024-01-02,18:49:00,Aqua,MODIS,78,6.1NRT,297.37,17.28,D
3.33205,-72.14284,332.14,1.01,1.01,2024-01-02,18:49:00,Aqua,MODIS,86,6.1NRT,297.34,24.12,D
3.33333,-72.13388,338.09,1.01,1.01,2024-01-02,18:49:00,Aqua,MODIS,90,6.1NRT,296.4,32.86,D
3.33462,-72.12491,349.77,1.01,1.01,2024-01-02,18:49:00,Aqua,MODIS,95,6.1NRT,298.7,54.95,D
3.17575,-72.38998,314.72,1.0,1.0,2024-01-02,18:49:00,Aqua,MODIS,68,6.1NRT,291.98,7.85,D
3.18603,-72.3189,322.67,1.01,1.0,2024-01-02,18:49:00,Aqua,MODIS,78,6.1NRT,295.3,13.71,D
3.11285,-72.18337,321.32,1.01,1.0,2024-01-02,18:49:00,Aqua,MODIS,76,6.1NRT,295.49,12.42,D
3.11414,-72.17445,326.69,1.01,1.0,2024-01-02,18:49:00,Aqua,MODIS,82,6.1NRT,296.08,18.53,D
3.09363,-72.25339,319.46,1.01,1.0,2024-01-02,18:49:00,Aqua,MODIS,74,6.1NRT,295.75,10.92,D
3.07444,-72.32325,314.22,1.01,1.0,2024-01-02,18:49:00,Aqua,MODIS,57,6.1NRT,294.77,5.41,D
2.89292,-72.42951,316.18,1.0,1.0,2024-01-02,18:49:00,Aqua,MODIS,72,6.1NRT,294.89,9.36,D
2.2483,-70.04012,320.62,1.19,1.08,2024-01-02,18:49:00,Aqua,MODIS,75,6.1NRT,296.99,15.5,D
10.38089,-74.32066,321.5,1.0,1.0,2024-01-02,18:49:00,Aqua,MODIS,65,6.1NRT,300.27,12.03,D
9.18687,-74.42435,317.06,1.0,1.0,2024-01-02,18:49:00,Aqua,MODIS,51,6.1NRT,298.93,6.23,D
8.80744,-74.05437,311.13,1.0,1.0,2024-01-02,18:49:00,Aqua,MODIS,55,6.1NRT,283.43,6.79,D
7.09772,-74.01087,313.68,1.0,1.0,2024-01-02,18:49:00,Aqua,MODIS,71,6.1NRT,286.63,8.47,D
7.09901,-74.00195,308.9,1.0,1.0,2024-01-02,18:49:00,Aqua,MODIS,62,6.1NRT,288.22,4.71,D
7.01488,-74.08062,308.99,1.01,1.0,2024-01-02,18:49:00,Aqua,MODIS,46,6.1NRT,284.88,5.92,D
3.18732,-72.31001,314.26,1.01,1.0,2024-01-02,18:49:00,Aqua,MODIS,36,6.1NRT,295.27,5.95,D
6.70565,-72.19568,305.4,1.05,1.02,2024-01-02,18:49:00,Aqua,MODIS,42,6.1NRT,277.39,6.55,D
6.98413,-74.16167,306.97,1.01,1.0,2024-01-02,18:49:00,Aqua,MODIS,56,6.1NRT,283.23,4.51,D
5.74434,-69.89115,314.79,1.34,1.15,2024-01-02,18:49:00,Aqua,MODIS,65,6.1NRT,288.71,11.98,D
6.04087,-70.03015,310.56,1.33,1.14,2024-01-02,18:49:00,Aqua,MODIS,62,6.1NRT,281.78,11.37,D
6.03925,-70.04194,305.68,1.33,1.14,2024-01-02,18:49:00,Aqua,MODIS,37,6.1NRT,278.66,6.53,D
6.18648,-70.15853,308.0,1.31,1.14,2024-01-02,18:49:00,Aqua,MODIS,42,6.1NRT,284.25,6.58,D
6.16816,-71.3732,311.35,1.12,1.06,2024-01-02,18:49:00,Aqua,MODIS,55,6.1NRT,289.12,4.77,D
